Nagapattinam	Tamil Nadu	Sir Issac Newton College of Engineering and Technology, Anthanapeetai
Kanyakumari	Tamil Nadu	Sivaji College of Engineering and Technology, Manivilla Palulai Panchayat
Coimbatore	Tamil Nadu	SNS College of Engineering (Autonomous), Sathy Main Road
Coimbatore	Tamil Nadu	SNS College of Technology (Autonomous), Kalappatti
Madurai	Tamil Nadu	Solamalai College of Engineering, Veerapanjan
Salem	Tamil Nadu	Sona College of Technology (Autonomous), Suramangalam
Vellore	Tamil Nadu	Sree Krishna College of Engineering, Anaicut
Coimbatore	Tamil Nadu	Sree Sakthi Engineering College, Bettathapuram
Chennai	Tamil Nadu	Sree Sastha Institute of Engineering and Technology, Chembarambakkam
Virudhunagar	Tamil Nadu	Sree Sowdambika College of Engineering
Namakkal	Tamil Nadu	SRG Engineering College, Aniyapuram
Tiruvannamalai	Tamil Nadu	Sri Balaji Chockalingam Engineering College, Arni
Pudukkottai	Tamil Nadu	Sri Bharathi Engineering College for Women, Kaikkuruchi Village
Coimbatore	Tamil Nadu	Sri Eshwar College of Engineering (Autonomous), Kondampatti
Tiruvallur	Tamil Nadu	Sri Jayaram Institute of Engineering and Technology
Ranipet	Tamil Nadu	Sri Krishna College of Engineering, Tiruttani High Road
Coimbatore	Tamil Nadu	Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur
Coimbatore	Tamil Nadu	Sri Krishna College of Technology (Autonomous) , Kovaipudur
Chennai	Tamil Nadu	Sri Krishna Engineering College, Panappakkam
Chennai	Tamil Nadu	Sri Krishna Institute of Technology, Panapakkam
Chennai	Tamil Nadu	Sri Muthukumaran Institute of Technology, Near Mangadu
Sivaganga	Tamil Nadu	Sri Raajaraajan College of Engineering & Technology, Amaravathi Village
Tiruvallur	Tamil Nadu	Sri Ram Engineering College, Perumalpattu
Perambalur	Tamil Nadu	Sri Ramakrishna College of Engineering, Sri Saradha Nagar
Coimbatore	Tamil Nadu	Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam
Coimbatore	Tamil Nadu	Sri Ramakrishna Institute of Technology (Autonomous), Pachapalayam
Chennai	Tamil Nadu	Sri Ramanujar Engineering College, Vandalur
Coimbatore	Tamil Nadu	Sri Ranganathar Institute of Engineering and Technology, Thudialur-Kovilpalay Road
Viluppuram	Tamil Nadu	Sri Rangapoopathi College of Engineering, Alampoondi Village
Chennai	Tamil Nadu	Sri Sai Ram Enginering College (Autonomous), West Tambaram
Chennai	Tamil Nadu	Sri Sai Ram Institute of Technology (Autonomous), West Tambaram
Coimbatore	Tamil Nadu	Sri Sai Ranganathan Engineering College, Zahirnaickenpalayam Village
Coimbatore	Tamil Nadu	Sri Shakthi Institute of Engineering and Technology (Autonomous)
Salem	Tamil Nadu	Sri Shanmugha College of Engineering and Technology, Morur Bit II Village
Chengalpattu	Tamil Nadu	Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam
Dindigul	Tamil Nadu	Sri Subramanya College of Engineering and Technology, Sukkamanaickanpatti
